Date,Canton,Blood_Type,Blood_in_Liter,Demand_in_Liter
2023-05-07,AR,0+,7.7,4.42
2023-05-07,AR,0-,9.04,7.07
2023-05-07,AI,A+,3.28,2.25
2023-05-07,AI,A-,1.91,1.37
2023-05-07,AI,B+,4.18,2.17
2023-05-07,AI,B-,3.03,1.84
2023-05-07,AI,AB+,3.64,2.36
2023-05-07,AI,AB-,2.72,1.98
2023-05-07,AI,0+,1.86,1.26
2023-05-07,AI,0-,2.31,1.29
2023-05-07,SG,A+,38.99,20.07
2023-05-07,SG,A-,40.09,23.29
2023-05-07,SG,B+,30.27,23.13
2023-05-07,SG,B-,17.49,12.41
2023-05-07,SG,AB+,37.15,24.34
2023-05-07,SG,AB-,28.61,17.59
2023-05-07,SG,0+,30.08,15.69
2023-05-07,SG,0-,16.57,15.63
2023-05-07,GR,A+,23.16,13.2
2023-05-07,GR,A-,27.7,18.33
2023-05-07,GR,B+,22.88,13.16
2023-05-07,GR,B-,12.66,10.36
2023-05-07,GR,AB+,22.77,17.92
2023-05-07,GR,AB-,11.82,11.41
2023-05-07,GR,0+,28.53,17.25
2023-05-07,GR,0-,6.21,15.0
2023-05-07,AG,A+,19.62,15.91
2023-05-07,AG,A-,23.26,15.46
2023-05-07,AG,B+,12.49,12.37
2023-05-07,AG,B-,24.92,18.67
2023-05-07,AG,AB+,24.67,18.41
2023-05-07,AG,AB-,16.1,11.3
2023-05-07,AG,0+,7.29,19.96
2023-05-07,AG,0-,18.48,9.31
2023-05-07,TG,A+,9.21,9.14
2023-05-07,TG,A-,15.16,9.72
2023-05-07,TG,B+,14.84,10.96
2023-05-07,TG,B-,4.46,13.41
2023-05-07,TG,AB+,8.91,4.8
2023-05-07,TG,AB-,4.79,12.78
2023-05-07,TG,0+,14.7,8.14
2023-05-07,TG,0-,15.14,8.57
2023-05-07,TI,A+,20.64,13.27
2023-05-07,TI,A-,8.66,7.91
2023-05-07,TI,B+,13.78,9.81
2023-05-07,TI,B-,21.14,16.98
2023-05-07,TI,AB+,22.17,12.33
2023-05-07,TI,AB-,16.1,10.12
2023-05-07,TI,0+,24.22,15.61
2023-05-07,TI,0-,8.25,7.82
2023-05-07,VD,A+,54.92,30.08
2023-05-07,VD,A-,37.29,29.2
2023-05-07,VD,B+,28.42,18.21
2023-05-07,VD,B-,17.25,12.63
2023-05-07,VD,AB+,24.72,19.79
2023-05-07,VD,AB-,29.8,16.49
2023-05-07,VD,0+,24.93,13.43
2023-05-07,VD,0-,8.36,27.07
2023-05-07,VS,A+,36.18,18.86
2023-05-07,VS,A-,29.52,21.66
2023-05-07,VS,B+,4.05,13.27
2023-05-07,VS,B-,14.86,13.17
2023-05-07,VS,AB+,19.51,11.24
2023-05-07,VS,AB-,20.27,12.71
2023-05-07,VS,0+,7.95,18.68
2023-05-07,VS,0-,24.83,21.37
2023-05-07,NE,A+,10.62,8.73
2023-05-07,NE,A-,2.15,7.17
2023-05-07,NE,B+,8.2,6.56
2023-05-07,NE,B-,1.94,4.66
2023-05-07,NE,AB+,10.59,6.67
2023-05-07,NE,AB-,8.53,6.69
2023-05-07,NE,0+,11.83,6.49
2023-05-07,NE,0-,6.84,4.65
2023-05-07,GE,A+,35.34,24.43
2023-05-07,GE,A-,25.09,14.14
2023-05-07,GE,B+,22.03,20.82
2023-05-07,GE,B-,27.29,18.61
2023-05-07,GE,AB+,46.65,24.89
2023-05-07,GE,AB-,9.73,18.61
2023-05-07,GE,0+,28.62,18.41
2023-05-07,GE,0-,44.17,23.35
2023-05-07,JU,A+,2.93,2.17
2023-05-07,JU,A-,8.52,5.86
2023-05-07,JU,B+,1.11,2.48
2023-05-07,JU,B-,2.96,5.76
2023-05-07,JU,AB+,5.07,3.07
2023-05-07,JU,AB-,8.84,5.3
2023-05-07,JU,0+,2.04,5.78
2023-05-07,JU,0-,7.71,4.45
2023-05-14,ZH,A+,52.41,35.03
2023-05-14,ZH,A-,47.83,25.09
2023-05-14,ZH,B+,32.3,27.36
2023-05-14,ZH,B-,25.73,20.34
2023-05-14,ZH,AB+,38.42,36.24
2023-05-14,ZH,AB-,27.86,21.87
2023-05-14,ZH,0+,42.48,22.48
2023-05-14,ZH,0-,31.25,24.27
2023-05-14,BE,A+,35.98,27.71
2023-05-14,BE,A-,37.47,19.41
2023-05-14,BE,B+,17.9,12.08
2023-05-14,BE,B-,40.03,29.71
2023-05-14,BE,AB+,24.81,18.5
2023-05-14,BE,AB-,49.01,28.51
2023-05-14,BE,0+,21.73,17.95
2023-05-14,BE,0-,30.3,17.29
2023-05-14,LU,A+,13.09,9.96
2023-05-14,LU,A-,19.72,11.24
2023-05-14,LU,B+,28.3,14.85
2023-05-14,LU,B-,5.78,16.19
2023-05-14,LU,AB+,12.78,9.04
2023-05-14,LU,AB-,30.25,22.62
2023-05-14,LU,0+,6.87,23.42
2023-05-14,LU,0-,16.04,15.62
2023-05-14,UR,A+,9.54,8.83
2023-05-14,UR,A-,15.73,9.63
2023-05-14,UR,B+,2.21,4.65
2023-05-14,UR,B-,16.56,9.23
2023-05-14,UR,AB+,10.77,8.27
2023-05-14,UR,AB-,6.86,5.49
2023-05-14,UR,0+,6.97,4.96
2023-05-14,UR,0-,6.86,4.07
2023-05-14,SZ,A+,12.81,7.46
2023-05-14,SZ,A-,7.1,5.25
2023-05-14,SZ,B+,8.24,6.88
2023-05-14,SZ,B-,8.26,4.79
2023-05-14,SZ,AB+,8.52,5.5
2023-05-14,SZ,AB-,11.34,6.37
2023-05-14,SZ,0+,17.58,13.04
2023-05-14,SZ,0-,17.94,12.81
2023-05-14,OW,A+,5.02,3.39
2023-05-14,OW,A-,0.97,2.56
2023-05-14,OW,B+,5.5,3.61
2023-05-14,OW,B-,5.43,4.38
2023-05-14,OW,AB+,3.24,2.11
2023-05-14,OW,AB-,5.94,4.22
2023-05-14,OW,0+,3.44,2.21
2023-05-14,OW,0-,2.56,2.08
2023-05-14,NW,A+,4.91,3.75
2023-05-14,NW,A-,4.6,3.6
2023-05-14,NW,B+,7.17,3.73
2023-05-14,NW,B-,1.02,2.2
2023-05-14,NW,AB+,5.05,3.34
2023-05-14,NW,AB-,5.12,3.44
2023-05-14,NW,0+,5.94,4.03
2023-05-14,NW,0-,0.79,2.07
2023-05-14,GL,A+,3.5,2.81
2023-05-14,GL,A-,7.67,5.64
2023-05-14,GL,B+,1.03,2.82
2023-05-14,GL,B-,6.62,5.15
2023-05-14,GL,AB+,4.67,3.8
2023-05-14,GL,AB-,1.8,5.33
2023-05-14,GL,0+,4.02,2.31
2023-05-14,GL,0-,0.99,2.05
2023-05-14,ZG,A+,3.58,3.14
2023-05-14,ZG,A-,6.34,4.52
2023-05-14,ZG,B+,8.79,4.97
2023-05-14,ZG,B-,8.36,5.96
2023-05-14,ZG,AB+,6.76,5.8
2023-05-14,ZG,AB-,12.24,6.28
2023-05-14,ZG,0+,11.75,6.78
2023-05-14,ZG,0-,10.95,7.06
2023-05-14,FR,A+,6.11,10.45
2023-05-14,FR,A-,13.6,8.76
2023-05-14,FR,B+,6.71,4.27
2023-05-14,FR,B-,9.7,4.9
2023-05-14,FR,AB+,10.03,8.1
2023-05-14,FR,AB-,15.95,11.43
2023-05-14,FR,0+,9.93,6.23
2023-05-14,FR,0-,4.68,11.25
2023-05-14,SO,A+,7.66,15.9
2023-05-14,SO,A-,16.46,10.5
2023-05-14,SO,B+,11.99,9.47
2023-05-14,SO,B-,22.69,13.91
2023-05-14,SO,AB+,14.71,9.34
2023-05-14,SO,AB-,3.31,9.96
2023-05-14,SO,0+,20.61,14.38
2023-05-14,SO,0-,9.18,7.57
2023-05-14,BS,A+,14.25,11.8
2023-05-14,BS,A-,18.96,12.72
2023-05-14,BS,B+,18.54,12.36
2023-05-14,BS,B-,2.24,5.88
2023-05-14,BS,AB+,4.38,13.6
2023-05-14,BS,AB-,26.51,14.39
2023-05-14,BS,0+,9.81,7.65
2023-05-14,BS,0-,16.19,11.66
2023-05-14,BL,A+,24.6,20.01
2023-05-14,BL,A-,14.34,13.0
2023-05-14,BL,B+,110.99,20.6
2023-05-14,BL,B-,78.15,20.41
2023-05-14,BL,AB+,59.0,18.2
2023-05-14,BL,AB-,40.91,11.05
2023-05-14,BL,0+,29.49,8.17
2023-05-14,BL,0-,47.68,11.08
2023-05-14,SH,A+,10.65,7.05
2023-05-14,SH,A-,2.04,4.92
2023-05-14,SH,B+,4.61,8.68
2023-05-14,SH,B-,1.62,3.84
2023-05-14,SH,AB+,14.17,7.26
2023-05-14,SH,AB-,4.5,3.19
2023-05-14,SH,0+,5.22,3.46
2023-05-14,SH,0-,12.41,8.34
2023-05-14,AR,A+,5.71,4.45
2023-05-14,AR,A-,10.32,6.91
2023-05-14,AR,B+,5.86,3.71
2023-05-14,AR,B-,10.48,7.31
2023-05-14,AR,AB+,1.15,2.99
2023-05-14,AR,AB-,13.71,7.11
2023-05-14,AR,0+,5.8,4.04
2023-05-14,AR,0-,7.04,4.95
2023-05-14,AI,A+,0.65,1.81
2023-05-14,AI,A-,3.19,2.0
2023-05-14,AI,B+,0.98,2.91
2023-05-14,AI,B-,3.45,2.22
2023-05-14,AI,AB+,3.62,1.9
2023-05-14,AI,AB-,3.8,2.99
2023-05-14,AI,0+,4.9,2.48
2023-05-14,AI,0-,1.8,1.28
2023-05-14,SG,A+,25.0,18.82
2023-05-14,SG,A-,18.46,17.56
2023-05-14,SG,B+,21.01,13.39
2023-05-14,SG,B-,18.85,11.74
2023-05-14,SG,AB+,5.65,16.6
2023-05-14,SG,AB-,9.74,26.4
2023-05-14,SG,0+,46.54,24.08
2023-05-14,SG,0-,25.98,18.07
2023-05-14,GR,A+,30.51,18.57
2023-05-14,GR,A-,24.25,16.53
2023-05-14,GR,B+,35.08,17.98
2023-05-14,GR,B-,9.64,6.96
2023-05-14,GR,AB+,15.46,11.85
2023-05-14,GR,AB-,13.63,12.84
2023-05-14,GR,0+,25.86,15.64
2023-05-14,GR,0-,32.47,17.56
2023-05-14,AG,A+,36.08,18.59
2023-05-14,AG,A-,8.88,23.97
2023-05-14,AG,B+,21.75,15.84
2023-05-14,AG,B-,25.44,14.1
2023-05-14,AG,AB+,13.77,10.04
2023-05-14,AG,AB-,10.27,23.91
2023-05-14,AG,0+,27.06,17.97
2023-05-14,AG,0-,25.66,21.39
2023-05-14,TG,A+,7.23,12.77
2023-05-14,TG,A-,5.73,5.23
2023-05-14,TG,B+,10.55,8.29
2023-05-14,TG,B-,6.83,5.52
2023-05-14,TG,AB+,13.13,11.36
2023-05-14,TG,AB-,8.02,5.4
2023-05-14,TG,0+,9.56,5.68
2023-05-14,TG,0-,18.9,9.95
2023-05-14,TI,A+,19.45,10.34
2023-05-14,TI,A-,13.48,10.26
2023-05-14,TI,B+,13.71,11.18
2023-05-14,TI,B-,2.58,7.32
2023-05-14,TI,AB+,17.17,14.31
2023-05-14,TI,AB-,22.9,13.24
2023-05-14,TI,0+,24.3,15.53
2023-05-14,TI,0-,14.5,7.35
2023-05-14,VD,A+,49.29,29.89
2023-05-14,VD,A-,23.17,12.82
2023-05-14,VD,B+,67.77,34.43
2023-05-14,VD,B-,23.82,16.12
2023-05-14,VD,AB+,20.66,12.02
2023-05-14,VD,AB-,25.27,21.56
2023-05-14,VD,0+,34.23,18.1
2023-05-14,VD,0-,21.72,13.49
2023-05-14,VS,A+,13.16,8.42
2023-05-14,VS,A-,22.09,21.5
2023-05-14,VS,B+,36.13,19.3
2023-05-14,VS,B-,20.98,14.58
2023-05-14,VS,AB+,11.1,9.25
2023-05-14,VS,AB-,29.46,16.69
2023-05-14,VS,0+,25.32,12.9
2023-05-14,VS,0-,14.01,8.73
2023-05-14,NE,A+,5.35,3.25
2023-05-14,NE,A-,4.75,3.64
2023-05-14,NE,B+,10.94,8.45
2023-05-14,NE,B-,2.07,7.1
2023-05-14,NE,AB+,2.17,6.27
2023-05-14,NE,AB-,6.01,3.19
2023-05-14,NE,0+,9.89,5.9
2023-05-14,NE,0-,2.79,8.16
2023-05-14,GE,A+,36.32,18.38
2023-05-14,GE,A-,17.67,13.93
2023-05-14,GE,B+,14.7,11.52
2023-05-14,GE,B-,23.91,17.69
2023-05-14,GE,AB+,4.71,13.54
2023-05-14,GE,AB-,7.76,20.88
2023-05-14,GE,0+,35.85,19.24
2023-05-14,GE,0-,16.05,9.78
2023-05-14,JU,A+,8.09,5.84
2023-05-14,JU,A-,1.73,5.95
2023-05-14,JU,B+,6.33,4.4
2023-05-14,JU,B-,4.12,2.25
2023-05-14,JU,AB+,1.7,2.92
2023-05-14,JU,AB-,8.38,4.61
2023-05-14,JU,0+,3.83,2.42
2023-05-14,JU,0-,4.99,4.38
2023-05-21,ZH,A+,11.45,30.2
2023-05-21,ZH,A-,25.81,15.3
2023-05-21,ZH,B+,49.88,36.83
2023-05-21,ZH,B-,49.66,33.73
2023-05-21,ZH,AB+,83.8,44.43
2023-05-21,ZH,AB-,18.2,29.79
2023-05-21,ZH,0+,23.58,41.33
2023-05-21,ZH,0-,65.45,41.62
2023-05-21,BE,A+,33.92,26.16
2023-05-21,BE,A-,52.37,28.9
2023-05-21,BE,B+,15.36,28.33
2023-05-21,BE,B-,18.8,19.43
2023-05-21,BE,AB+,43.75,22.98
2023-05-21,BE,AB-,25.55,16.03
2023-05-21,BE,0+,38.13,27.98
2023-05-21,BE,0-,35.86,25.38
2023-05-21,LU,A+,27.53,17.18
2023-05-21,LU,A-,19.62,12.28
2023-05-21,LU,B+,2.13,8.04
2023-05-21,LU,B-,21.16,15.15
2023-05-21,LU,AB+,18.77,14.85
2023-05-21,LU,AB-,40.8,23.58
2023-05-21,LU,0+,20.19,13.37
2023-05-21,LU,0-,34.32,20.39
2023-05-21,UR,A+,14.45,9.86
2023-05-21,UR,A-,6.79,4.93
2023-05-21,UR,B+,6.2,4.57
2023-05-21,UR,B-,7.5,3.96
2023-05-21,UR,AB+,15.45,8.54
2023-05-21,UR,AB-,1.58,3.77
2023-05-21,UR,0+,9.62,7.24
2023-05-21,UR,0-,4.09,9.11
2023-05-21,SZ,A+,1.96,6.31
2023-05-21,SZ,A-,13.91,11.02
2023-05-21,SZ,B+,2.24,7.22
2023-05-21,SZ,B-,8.53,4.57
2023-05-21,SZ,AB+,18.06,11.2
2023-05-21,SZ,AB-,13.69,9.11
2023-05-21,SZ,0+,9.07,6.13
2023-05-21,SZ,0-,6.41,12.15
2023-05-21,OW,A+,6.96,3.77
2023-05-21,OW,A-,2.71,2.42
2023-05-21,OW,B+,1.77,2.84
2023-05-21,OW,B-,1.53,3.87
2023-05-21,OW,AB+,3.24,1.63
2023-05-21,OW,AB-,0.88,2.15
2023-05-21,OW,0+,3.14,2.47
2023-05-21,OW,0-,7.32,4.02
2023-05-21,NW,A+,6.05,5.88
2023-05-21,NW,A-,6.76,3.99
2023-05-21,NW,B+,5.84,3.85
2023-05-21,NW,B-,5.34,2.79
2023-05-21,NW,AB+,2.86,2.18
2023-05-21,NW,AB-,7.44,4.49
2023-05-21,NW,0+,8.74,4.58
2023-05-21,NW,0-,4.62,4.2
2023-05-21,GL,A+,7.57,5.64
2023-05-21,GL,A-,5.39,3.11
2023-05-21,GL,B+,3.27,2.12
2023-05-21,GL,B-,1.54,4.01
2023-05-21,GL,AB+,9.36,5.62
2023-05-21,GL,AB-,4.89,4.37
2023-05-21,GL,0+,3.56,2.5
2023-05-21,GL,0-,3.74,3.77
2023-05-21,ZG,A+,6.47,4.3
2023-05-21,ZG,A-,8.6,4.56
2023-05-21,ZG,B+,1.16,3.72
2023-05-21,ZG,B-,6.91,6.06
2023-05-21,ZG,AB+,7.6,4.99
2023-05-21,ZG,AB-,14.11,7.59
2023-05-21,ZG,0+,5.92,4.43
2023-05-21,ZG,0-,10.57,6.8
2023-05-21,FR,A+,13.42,9.81
2023-05-21,FR,A-,16.32,8.78
2023-05-21,FR,B+,13.31,9.14
2023-05-21,FR,B-,17.12,8.67
2023-05-21,FR,AB+,16.27,10.41
2023-05-21,FR,AB-,11.82,6.36
2023-05-21,FR,0+,19.92,10.37
2023-05-21,FR,0-,13.35,8.62
2023-05-21,SO,A+,14.54,13.4
2023-05-21,SO,A-,9.86,6.0
2023-05-21,SO,B+,6.84,6.67
2023-05-21,SO,B-,14.07,9.37
2023-05-21,SO,AB+,10.88,6.25
2023-05-21,SO,AB-,8.25,6.73
2023-05-21,SO,0+,15.5,10.93
2023-05-21,SO,0-,18.41,14.36
2023-05-21,BS,A+,7.26,7.37
2023-05-21,BS,A-,11.98,9.11
2023-05-21,BS,B+,24.3,12.9
2023-05-21,BS,B-,12.75,11.68
2023-05-21,BS,AB+,19.11,13.94
2023-05-21,BS,AB-,8.25,5.15
2023-05-21,BS,0+,13.53,10.53
2023-05-21,BS,0-,27.04,13.71
2023-05-21,BL,A+,15.26,15.17
2023-05-21,BL,A-,23.42,12.7
2023-05-21,BL,B+,11.39,17.43
2023-05-21,BL,B-,23.77,20.53
2023-05-21,BL,AB+,12.37,10.42
2023-05-21,BL,AB-,23.63,15.03
2023-05-21,BL,0+,19.3,10.85
2023-05-21,BL,0-,25.73,16.82
2023-05-21,SH,A+,5.4,4.23
2023-05-21,SH,A-,2.12,6.46
2023-05-21,SH,B+,4.29,3.2
2023-05-21,SH,B-,6.93,4.75
2023-05-21,SH,AB+,6.82,4.14
2023-05-21,SH,AB-,2.47,7.82
2023-05-21,SH,0+,5.11,3.64
2023-05-21,SH,0-,10.49,8.66
2023-05-21,AR,A+,3.46,2.63
2023-05-21,AR,A-,7.04,4.06
2023-05-21,AR,B+,10.53,6.3
2023-05-21,AR,B-,11.7,6.77
2023-05-21,AR,AB+,8.49,5.73
2023-05-21,AR,AB-,6.77,4.58
2023-05-21,AR,0+,7.01,4.5
2023-05-21,AR,0-,6.0,4.11
2023-05-21,AI,A+,4.47,2.35
2023-05-21,AI,A-,3.75,1.94
2023-05-21,AI,B+,1.01,2.56
2023-05-21,AI,B-,3.12,2.92
2023-05-21,AI,AB+,3.65,2.22
2023-05-21,AI,AB-,0.66,1.95
2023-05-21,AI,0+,4.5,2.7
2023-05-21,AI,0-,2.9,1.59
2023-05-21,SG,A+,16.46,12.9
2023-05-21,SG,A-,33.52,23.47
2023-05-21,SG,B+,22.44,20.21
2023-05-21,SG,B-,4.58,11.73
2023-05-21,SG,AB+,18.55,10.5
2023-05-21,SG,AB-,21.19,13.45
2023-05-21,SG,0+,40.76,23.54
2023-05-21,SG,0-,14.77,11.51
2023-05-21,GR,A+,28.64,17.52
2023-05-21,GR,A-,10.97,8.33
2023-05-21,GR,B+,9.03,7.38
2023-05-21,GR,B-,30.78,16.61
2023-05-21,GR,AB+,24.1,15.44
2023-05-21,GR,AB-,15.06,9.89
2023-05-21,GR,0+,18.44,19.19
2023-05-21,GR,0-,23.11,18.57
2023-05-21,AG,A+,23.16,17.33
2023-05-21,AG,A-,32.45,22.68
2023-05-21,AG,B+,17.64,16.0
2023-05-21,AG,B-,42.15,21.18
2023-05-21,AG,AB+,13.23,13.38
2023-05-21,AG,AB-,13.07,9.44
2023-05-21,AG,0+,12.33,10.23
2023-05-21,AG,0-,20.03,14.08
2023-05-21,TG,A+,16.37,8.26
2023-05-21,TG,A-,13.17,7.28
2023-05-21,TG,B+,19.15,9.73
2023-05-21,TG,B-,15.72,10.58
2023-05-21,TG,AB+,10.26,6.61
2023-05-21,TG,AB-,9.59,5.29
2023-05-21,TG,0+,16.59,10.57
2023-05-21,TG,0-,11.16,8.51
2023-05-21,TI,A+,16.08,10.07
2023-05-21,TI,A-,10.07,6.47
2023-05-21,TI,B+,4.37,16.27
2023-05-21,TI,B-,15.48,10.47
2023-05-21,TI,AB+,15.69,8.43
2023-05-21,TI,AB-,6.23,13.56
2023-05-21,TI,0+,18.84,16.6
2023-05-21,TI,0-,15.5,9.9
2023-05-21,VD,A+,7.16,22.32
2023-05-21,VD,A-,20.6,15.29
2023-05-21,VD,B+,40.88,27.99
2023-05-21,VD,B-,15.17,14.01
2023-05-21,VD,AB+,24.35,16.19
2023-05-21,VD,AB-,25.38,19.52
2023-05-21,VD,0+,48.55,28.01
2023-05-21,VD,0-,53.96,29.6
2023-05-21,VS,A+,27.29,15.92
2023-05-21,VS,A-,8.61,20.62
2023-05-21,VS,B+,24.7,17.25
2023-05-21,VS,B-,33.5,22.13
2023-05-21,VS,AB+,28.11,20.84
2023-05-21,VS,AB-,11.01,7.66
2023-05-21,VS,0+,14.42,11.36
2023-05-21,VS,0-,9.46,16.23
2023-05-21,NE,A+,7.47,5.67
2023-05-21,NE,A-,3.55,8.65
2023-05-21,NE,B+,8.59,5.51
2023-05-21,NE,B-,1.31,3.62
2023-05-21,NE,AB+,6.79,5.48
2023-05-21,NE,AB-,5.57,3.97
2023-05-21,NE,0+,6.64,4.42
2023-05-21,NE,0-,3.77,8.98
2023-05-21,GE,A+,30.68,20.52
2023-05-21,GE,A-,15.83,10.56
2023-05-21,GE,B+,17.39,10.77
2023-05-21,GE,B-,25.14,19.86
2023-05-21,GE,AB+,33.03,21.22
2023-05-21,GE,AB-,23.94,15.65
2023-05-21,GE,0+,30.46,17.85
2023-05-21,GE,0-,34.21,26.38
2023-05-21,JU,A+,7.84,5.59
2023-05-21,JU,A-,4.35,2.39
2023-05-21,JU,B+,7.32,5.88
2023-05-21,JU,B-,4.58,3.13
2023-05-21,JU,AB+,4.29,4.16
2023-05-21,JU,AB-,3.79,2.38
2023-05-21,JU,0+,4.64,4.7
2023-05-21,JU,0-,9.15,4.63
2023-05-28,ZH,A+,41.7,32.64
2023-05-28,ZH,A-,19.75,16.74
2023-05-28,ZH,B+,25.94,22.5
2023-05-28,ZH,B-,48.18,29.81
2023-05-28,ZH,AB+,44.28,36.48
2023-05-28,ZH,AB-,41.17,27.92
2023-05-28,ZH,0+,58.67,42.31
2023-05-28,ZH,0-,4.43,16.27
2023-05-28,BE,A+,16.03,13.66
2023-05-28,BE,A-,36.89,18.67
2023-05-28,BE,B+,33.35,21.69
2023-05-28,BE,B-,16.55,16.49
2023-05-28,BE,AB+,26.01,21.22
2023-05-28,BE,AB-,15.05,14.87
2023-05-28,BE,0+,41.32,29.16
2023-05-28,BE,0-,44.18,29.2
2023-05-28,LU,A+,42.53,22.54
2023-05-28,LU,A-,21.59,11.5
2023-05-28,LU,B+,20.52,11.82
2023-05-28,LU,B-,8.14,14.39
2023-05-28,LU,AB+,7.49,20.81
2023-05-28,LU,AB-,28.09,20.23
2023-05-28,LU,0+,26.16,21.87
2023-05-28,LU,0-,15.52,23.28
2023-05-28,UR,A+,8.2,6.4
2023-05-28,UR,A-,4.65,8.87
2023-05-28,UR,B+,10.76,7.79
2023-05-28,UR,B-,10.14,6.43
2023-05-28,UR,AB+,7.28,4.09
2023-05-28,UR,AB-,1.9,4.67
2023-05-28,UR,0+,7.19,4.38
2023-05-28,UR,0-,8.49,5.85
2023-05-28,SZ,A+,1.48,5.17
2023-05-28,SZ,A-,8.75,6.26
2023-05-28,SZ,B+,14.89,7.65
2023-05-28,SZ,B-,19.29,11.07
2023-05-28,SZ,AB+,1.87,6.05
2023-05-28,SZ,AB-,15.54,11.33
2023-05-28,SZ,0+,17.43,13.41
2023-05-28,SZ,0-,17.06,9.94
2023-05-28,OW,A+,3.88,2.8
2023-05-28,OW,A-,3.13,1.73
2023-05-28,OW,B+,2.91,3.0
2023-05-28,OW,B-,1.05,3.35
2023-05-28,OW,AB+,4.46,2.39
2023-05-28,OW,AB-,1.14,3.89
2023-05-28,OW,0+,7.0,4.0
2023-05-28,OW,0-,4.7,4.27
2023-05-28,NW,A+,7.79,4.96
2023-05-28,NW,A-,4.15,3.23
2023-05-28,NW,B+,6.31,3.35
2023-05-28,NW,B-,7.6,5.94
2023-05-28,NW,AB+,0.68,2.63
2023-05-28,NW,AB-,6.79,4.25
2023-05-28,NW,0+,2.63,2.65
2023-05-28,NW,0-,8.53,5.89
2023-05-28,GL,A+,5.09,4.78
2023-05-28,GL,A-,4.29,2.88
2023-05-28,GL,B+,5.93,5.49
2023-05-28,GL,B-,5.68,3.35
2023-05-28,GL,AB+,6.68,5.23
2023-05-28,GL,AB-,3.32,2.63
2023-05-28,GL,0+,6.77,4.29
2023-05-28,GL,0-,3.65,3.2
2023-05-28,ZG,A+,6.42,5.11
2023-05-28,ZG,A-,6.67,3.63
2023-05-28,ZG,B+,13.82,7.77
2023-05-28,ZG,B-,5.69,4.73
2023-05-28,ZG,AB+,7.05,4.8
2023-05-28,ZG,AB-,6.06,4.05
2023-05-28,ZG,0+,4.37,7.58
2023-05-28,ZG,0-,8.91,6.88
2023-05-28,FR,A+,13.19,8.53
2023-05-28,FR,A-,3.16,9.96
2023-05-28,FR,B+,17.4,10.3
2023-05-28,FR,B-,11.51,7.79
2023-05-28,FR,AB+,17.6,10.48
2023-05-28,FR,AB-,8.14,5.96
2023-05-28,FR,0+,14.77,10.45
2023-05-28,FR,0-,1.4,4.59
2023-05-28,SO,A+,27.68,17.18
2023-05-28,SO,A-,34.72,17.62
2023-05-28,SO,B+,5.82,13.2
2023-05-28,SO,B-,17.2,12.71
2023-05-28,SO,AB+,17.71,11.34
2023-05-28,SO,AB-,7.47,6.62
2023-05-28,SO,0+,19.27,13.97
2023-05-28,SO,0-,30.25,17.12
2023-05-28,BS,A+,13.45,12.86
2023-05-28,BS,A-,9.22,7.08
2023-05-28,BS,B+,8.76,5.65
2023-05-28,BS,B-,7.19,5.89
2023-05-28,BS,AB+,23.9,13.76
2023-05-28,BS,AB-,4.64,12.77
2023-05-28,BS,0+,5.86,12.59
2023-05-28,BS,0-,2.4,8.81
2023-05-28,BL,A+,30.73,20.58
2023-05-28,BL,A-,21.15,11.78
2023-05-28,BL,B+,16.72,13.64
2023-05-28,BL,B-,25.96,13.59
2023-05-28,BL,AB+,23.74,18.36
2023-05-28,BL,AB-,4.5,7.65
2023-05-28,BL,0+,10.33,9.34
2023-05-28,BL,0-,27.76,16.39
2023-05-28,SH,A+,12.74,6.83
2023-05-28,SH,A-,10.96,8.56
2023-05-28,SH,B+,5.02,3.11
2023-05-28,SH,B-,1.75,3.09
2023-05-28,SH,AB+,7.83,6.56
2023-05-28,SH,AB-,11.75,7.89
2023-05-28,SH,0+,6.52,3.32
2023-05-28,SH,0-,1.58,4.73
2023-05-28,AR,A+,5.12,4.61
2023-05-28,AR,A-,4.17,2.5
2023-05-28,AR,B+,9.56,6.3
2023-05-28,AR,B-,5.77,3.97
2023-05-28,AR,AB+,3.5,6.76
2023-05-28,AR,AB-,6.52,3.83
2023-05-28,AR,0+,12.14,7.01
2023-05-28,AR,0-,0.82,2.98
2023-05-28,AI,A+,2.68,1.95
2023-05-28,AI,A-,0.84,1.77
2023-05-28,AI,B+,3.25,2.68
2023-05-28,AI,B-,1.67,1.07
2023-05-28,AI,AB+,2.71,1.69
2023-05-28,AI,AB-,2.66,1.86
2023-05-28,AI,0+,3.21,2.41
2023-05-28,AI,0-,3.22,2.28
2023-05-28,SG,A+,5.07,11.52
2023-05-28,SG,A-,31.22,24.78
2023-05-28,SG,B+,27.36,22.58
2023-05-28,SG,B-,39.44,24.79
2023-05-28,SG,AB+,26.53,13.7
2023-05-28,SG,AB-,48.97,24.74
2023-05-28,SG,0+,12.34,9.54
2023-05-28,SG,0-,38.33,22.8
2023-05-28,GR,A+,11.63,8.08
2023-05-28,GR,A-,13.86,11.67
2023-05-28,GR,B+,9.37,6.73
2023-05-28,GR,B-,20.09,14.05
2023-05-28,GR,AB+,19.18,10.26
2023-05-28,GR,AB-,9.83,17.31
2023-05-28,GR,0+,5.26,18.73
2023-05-28,GR,0-,30.81,16.05
2023-05-28,AG,A+,11.95,8.18
2023-05-28,AG,A-,28.04,18.81
2023-05-28,AG,B+,16.6,9.12
